operation	slug
register	register
login	login
get_profile	get-profile
update_profile	update-profile
forgot_password	forgot-password
reset_password	reset-password
upload_avatar	upload-avatar
delete_avatar	delete-avatar
list_categories	list-categories
create_category	create-category
update_category	update-category
delete_category	delete-category
list_transactions	list-transactions
create_transaction	create-transaction
update_transaction	update-transaction
delete_transaction	delete-transaction
list_budgets	list-budgets
create_budget	create-budget
update_budget	update-budget
delete_budget	delete-budget
compute_spent	compute-spent
list_goals	list-goals
create_goal	create-goal
get_goal_detail	get-goal-detail
update_goal	update-goal
delete_goal	delete-goal
complete_goal	complete-goal
add_item	add-item
update_item	update-item
delete_item	delete-item
list_goal_transactions	list-goal-transactions
deposit	deposit
withdraw	withdraw
compute_current	compute-current
list_conversations	list-conversations
get_conversation	get-conversation
create_conversation	create-conversation
delete_conversation	delete-conversation
ask_assistant	ask-assistant
message_out	message-out
